Sample_ID,Tube_ID_or_Well_ID,Request_name,Benchling_Library_Info,ELN_EXPID,Analysis_Type,Organism,Treatment,Condition,Timepoint,Donor_IDs,ABS_strain_id,Request_Num,Library_File_Name
seqRNA50-HF-CUT-26-010-6hr-ABS-201,2,NGSREQ362-T2,,COLD001-E001,['Short Read'],Human,ABS-201,Group 1,6,1,,362,
seqRNA58-HF-CUT-26-031-6hr-ABS-201,10,NGSREQ362-T10,,COLD001-E001,['Short Read'],Human,ABS-201,Group 1,6,3,,362,
seqRNA61-HF-CUT-26-032-6hr-IgG,13,NGSREQ362-T13,,COLD001-E001,['Short Read'],Human,IgG,Control,6,4,,362,
seqRNA62-HF-CUT-26-032-6hr-ABS-201,14,NGSREQ362-T14,,COLD001-E001,['Short Read'],Human,ABS-201,Group 1,6,4,,362,
seqRNA55-HF-CUT-26-018-6hr-IgG-PRL,7,NGSREQ362-T7,,COLD001-E001,['Short Read'],Human,IgG+PRL,Group 2,6,2,,362,
seqRNA56-HF-CUT-26-018-6hr-ABS-201-PRL,8,NGSREQ362-T8,,COLD001-E001,['Short Read'],Human,ABS201+PRL,Group 3,6,2,,362,
seqRNA59-HF-CUT-26-031-6hr-IgG-PRL,11,NGSREQ362-T11,,COLD001-E001,['Short Read'],Human,IgG+PRL,Group 2,6,3,,362,
seqRNA63-HF-CUT-26-032-6hr-IgG-PRL,15,NGSREQ362-T15,,COLD001-E001,['Short Read'],Human,IgG+PRL,Group 2,6,4,,362,
seqRNA49-HF-CUT-26-010-6hr-IgG,1,NGSREQ362-T1,,COLD001-E001,['Short Read'],Human,IgG,Control,6,1,,362,
seqRNA51-HF-CUT-26-010-6hr-IgG-PRL,3,NGSREQ362-T3,,COLD001-E001,['Short Read'],Human,IgG+PRL,Group 2,6,1,,362,
seqRNA52-HF-CUT-26-010-6hr-ABS-201-PRL,4,NGSREQ362-T4,,COLD001-E001,['Short Read'],Human,ABS201+PRL,Group 3,6,1,,362,
seqRNA53-HF-CUT-26-018-6hr-IgG,5,NGSREQ362-T5,,COLD001-E001,['Short Read'],Human,IgG,Control,6,2,,362,
seqRNA60-HF-CUT-26-031-6hr-ABS-201-PRL,12,NGSREQ362-T12,,COLD001-E001,['Short Read'],Human,ABS201+PRL,Group 3,6,3,,362,
seqRNA54-HF-CUT-26-018-6hr-ABS-201,6,NGSREQ362-T6,,COLD001-E001,['Short Read'],Human,ABS-201,Group 1,6,2,,362,
seqRNA57-HF-CUT-26-031-6hr-IgG,9,NGSREQ362-T9,,COLD001-E001,['Short Read'],Human,IgG,Control,6,3,,362,
seqRNA64-HF-CUT-26-032-6hr-ABS-201-PRL,16,NGSREQ362-T16,,COLD001-E001,['Short Read'],Human,ABS201+PRL,Group 3,6,4,,362,
